7123:
 num     #instances         #bytes  class name (module)
 145:          2503          60072  com.mojang.serialization.MapEncoder$1
 146:          2477          59448  org.bukkit.configuration.SectionPathData
 147:          2449          58776  net.minecraft.world.item.crafting.Ingredient
 148:          2417          58008  net.minecraft.world.level.storage.loot.entries.LootPoolSingletonContainer$1
 149:          1448          57920  net.minecraft.world.level.storage.loot.LootPool
 150:          3591          57456  java.lang.Integer (java.base@21.0.12.1)
 151:          2393          57432  com.mojang.serialization.Decoder$5
 152:          1195          57360  java.lang.invoke.LambdaForm (java.base@21.0.12.1)
 153:          2385          57240  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$1
 154:          2347          56328  net.minecraft.advancements.critereon.DataComponentMatchers
 155:          2300          55200  org.bukkit.craftbukkit.block.impl.CraftNoteBlock
 156:          2291          54984  me.lucko.spark.paper.common.sampler.node.StackTraceNode
 157:          3426          54816  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$TerminalCharacters$$Lambda/0x00007fd2045d6560
 158:           854          54656  java.lang.Class$ReflectionData (java.base@21.0.12.1)
 159:          2228          53472  net.minecraft.world.entity.ai.attributes.AttributeSupplier$Builder$$Lambda/0x00007fd204c6afc8
 160:          1324          52960  net.minecraft.world.level.storage.loot.LootTable
 161:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftDoor
 162:          2176          52224  org.bukkit.craftbukkit.block.impl.CraftTrapDoor
 163:          3217          51472  net.minecraft.util.parsing.packrat.Term$Sequence
 164:          1062          50976  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.12.1)
 165:           626          50816  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12.1)
 166:          2108          50592  com.mojang.serialization.MapCodec$4
 167:           884          49504  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21.0.12.1)
 168:             3          49200  [Lnet.minecraft.world.level.pathfinder.PathType;
 169:          2017          48408  net.minecraft.core.component.PatchedDataComponentMap
 170:          1992          47808  com.mojang.serialization.codecs.PairMapCodec
 171:          1990          47760  com.mojang.serialization.MapCodec$6
 172:          1990          47760  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007fd204402960
 173:          1473          47136  net.minecraft.advancements.AdvancementRewards
 174:          1937          46488  net.minecraft.advancements.critereon.ItemPredicate
 175:          1450          46400  net.minecraft.world.item.crafting.display.RecipeDisplayEntry
 176:          1441          46112  sun.security.util.ObjectIdentifier (java.base@21.0.12.1)
 177:          1803          43272  net.minecraft.util.parsing.packrat.Dictionary$Entry
 178:           199          43176  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12.1)
 179:          2691          43056  com.mojang.serialization.codecs.RecordCodecBuilder$$Lambda/0x00007fd2041bb658
 180:          1771          42504  net.minecraft.sounds.SoundEvent
 181:          1771          42504  org.bukkit.craftbukkit.CraftSound
 182:          1290          41280  java.lang.invoke.MethodTypeForm (java.base@21.0.12.1)
 183:          2503          40048  com.mojang.serialization.MapCodec$$Lambda/0x00007fd2041e93f0
 184:          1612          38688  net.minecraft.util.parsing.packrat.Term$Marker
 185:          1611          38664  net.minecraft.advancements.critereon.InventoryChangeTrigger$TriggerInstance
