== BUDGET oracle FAKE (contract-emulating fake, budgeted scratch) ==
mode	FAKE native (counting stub) + BUDGETED scratch (TASK-64 variant C)
stream	d	call	naiveOps	capOps	expA/expR	actA/actR	capCheck	result
S2-RESIZE	63	51	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	52	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	53	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	54	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	55	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	56	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	57	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	58	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	59	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	60	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	61	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	62	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	63	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	64	512	1024	0/512	0/512	budgetOK	PASS
S3-MIX	63	1	512	1024	512/0	512/0	budgetOK	PASS
S3-MIX	63	2	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	3	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	4	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	5	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	6	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	7	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	8	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	9	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	10	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	11	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	12	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	13	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	14	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	15	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	16	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	17	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	18	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	19	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	20	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	21	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	22	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	23	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	24	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	25	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	26	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	27	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	28	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	29	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	30	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	31	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	32	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	33	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	34	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	35	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	36	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	37	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	38	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	39	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	40	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	41	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	42	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	43	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	44	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	45	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	46	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	47	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	48	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	49	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	50	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	51	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	52	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	53	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	54	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	55	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	56	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	57	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	58	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	59	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	60	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	61	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	62	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	63	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	64	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	65	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	66	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	67	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	68	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	69	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	70	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	71	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	72	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	73	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	74	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	75	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	76	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	77	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	78	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	79	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	80	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	81	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	82	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	83	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	84	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	85	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	86	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	87	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	88	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	89	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	90	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	91	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	92	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	93	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	94	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	95	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	96	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	97	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	98	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	99	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	100	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	101	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	102	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	103	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	104	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	105	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	106	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	107	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	108	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	109	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	110	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	111	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	112	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	113	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	114	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	115	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	116	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	117	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	118	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	119	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	120	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	121	512	1028	512/0	512/0	budgetOK	PASS
S3-MIX	63	122	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	123	258	1028	129/129	129/129	budgetOK	PASS
S3-MIX	63	124	514	1028	257/257	257/257	budgetOK	PASS
S3-MIX	63	125	512	1028	0/512	0/512	budgetOK	PASS
S3-MIX	63	126	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	63	127	254	1028	127/127	127/127	budgetOK	PASS
S3-MIX	63	128	506	1028	253/253	253/253	budgetOK	PASS
S3-MIX	255	1	2048	4096	2048/0	2048/0	budgetOK	PASS
S3-MIX	255	2	2050	4100	1025/1025	1025/1025	budgetOK	PASS
S3-MIX	255	3	1026	4100	513/513	513/513	budgetOK	PASS
S3-MIX	255	4	2050	4100	1025/1025	1025/1025	budgetOK	PASS
S3-MIX	255	5	2048	4100	0/2048	0/2048	budgetOK	PASS
S3-MIX	255	6	2042	4100	1021/1021	1021/1021	budgetOK	PASS
S3-MIX	255	7	1022	4100	511/511	511/511	budgetOK	PASS
S3-MIX	255	8	2042	4100	1021/1021	1021/1021	budgetOK	PASS
S3-MIX	511	1	4096	8192	4096/0	4096/0	budgetOK	PASS
S3-MIX	511	2	4098	8196	2049/2049	2049/2049	budgetOK	PASS
S3-MIX	511	3	2050	8196	1025/1025	1025/1025	budgetOK	PASS
S3-MIX	511	4	4098	8196	2049/2049	2049/2049	budgetOK	PASS
SUMMARY	S1-MOVE	calls=64	pass=64	fail=0	minCapOps=578	maxNaiveOps=506
SUMMARY	S2-RESIZE	calls=64	pass=64	fail=0	minCapOps=1024	maxNaiveOps=512
SUMMARY	S3-MIX	calls=140	pass=140	fail=0	minCapOps=1024	maxNaiveOps=4098
REPLAY	REALwindow	iters=9996	meanNaiveOps=644.99	meanRadius=64.45	minR=42	maxR=88	benchReported=645
REPLAY	REALwindow	iters=10003	meanNaiveOps=644.94	meanRadius=64.44	minR=42	maxR=88	benchReported=645
REPLAY	REALwindow	iters=10010	meanNaiveOps=644.84	meanRadius=64.44	minR=42	maxR=88	benchReported=645
REPLAY	FAKEwindow	iters=52108	meanNaiveOps=374.30	meanRadius=37.34	minR=1	maxR=91	benchReported=374
parityCalls=268	parityPass=268	failures=0	mode=FAKE
TASK-30 VERDICT: PARITY
== BUDGET oracle REAL (closed native, budgeted scratch) — PARITY GATE ==
mode	REAL native (.so) + BUDGETED scratch (TASK-64 variant C)
stream	d	call	naiveOps	capOps	expA/expR	actA/actR	capCheck	result
S1-MOVE	63	1	254	578	127/127	127/127	budgetOK	PASS
S1-MOVE	63	2	506	1012	253/253	253/253	budgetOK	PASS
