[02:10:49] TASK-117 SOAK chunk 20260909_021049 begin: OpenJDK Runtime Environment GraalVM CE 21.0.2+13.1 (build 21.0.2+13-jvmci-23.1-b30) WAVES=12 LOAD_SECONDS=420
[02:52:53] wave 39 done: wall=16.2s cpu=10.4s rss=2554.7MB
[02:53:15] wave 40 done: wall=21.6s cpu=9.0s rss=2548.9MB
[02:53:28] TASK-117 SOAK chunk 20260909_024514 complete (hs_err delta=0)
[02:54:02] TASK-117 SOAK chunk 20260909_025401 begin: OpenJDK Runtime Environment GraalVM CE 21.0.2+13.1 (build 21.0.2+13-jvmci-23.1-b30) WAVES=40 LOAD_SECONDS=480
[02:54:19] boot Done 15.730s
[02:55:01] wave 1 done: wall=30.6s cpu=33.4s rss=1256.8MB
[02:55:16] wave 2 done: wall=15.3s cpu=10.7s rss=1275.8MB
[02:55:32] wave 3 done: wall=16.3s cpu=11.2s rss=1291.8MB
[02:55:42] wave 4 done: wall=10.2s cpu=8.0s rss=1377.7MB
[02:55:57] wave 5 done: wall=14.2s cpu=7.5s rss=1428.3MB
[02:56:06] wave 6 done: wall=9.8s cpu=8.3s rss=1430.9MB
[02:56:39] wave 7 done: wall=32.4s cpu=15.2s rss=1447.6MB
[02:57:04] wave 8 done: wall=24.9s cpu=16.0s rss=1452.8MB
[02:57:12] wave 9 done: wall=8.2s cpu=6.8s rss=1627.5MB
[02:57:21] wave 10 done: wall=8.7s cpu=6.7s rss=1688.5MB
[02:57:29] wave 11 done: wall=8.6s cpu=6.1s rss=1687.9MB
[02:57:37] wave 12 done: wall=7.6s cpu=5.0s rss=1688.0MB
[02:57:52] wave 13 done: wall=15.2s cpu=6.9s rss=1688.3MB
[02:58:08] wave 14 done: wall=16.2s cpu=7.9s rss=1713.3MB
[02:58:21] wave 15 done: wall=12.6s cpu=6.3s rss=1694.3MB
[02:58:28] wave 16 done: wall=7.6s cpu=5.5s rss=1780.2MB
[02:58:39] wave 17 done: wall=10.7s cpu=6.6s rss=1853.0MB
[02:58:47] wave 18 done: wall=7.6s cpu=4.9s rss=1856.5MB
[02:58:54] wave 19 done: wall=7.7s cpu=5.9s rss=1954.8MB
[02:59:02] wave 20 done: wall=7.6s cpu=4.7s rss=1951.0MB
[02:59:11] wave 21 done: wall=8.6s cpu=6.7s rss=1951.2MB
[02:59:24] wave 22 done: wall=13.7s cpu=7.2s rss=2028.2MB
[02:59:32] wave 23 done: wall=7.6s cpu=4.9s rss=2033.8MB
[02:59:43] wave 24 done: wall=11.2s cpu=6.8s rss=2105.5MB
[02:59:51] wave 25 done: wall=8.1s cpu=5.4s rss=2112.5MB
[03:00:02] wave 26 done: wall=10.7s cpu=7.2s rss=2143.4MB
[03:00:11] wave 27 done: wall=9.1s cpu=6.6s rss=2119.9MB
[03:00:19] wave 28 done: wall=7.5s cpu=4.9s rss=2141.3MB
[03:00:27] wave 29 done: wall=8.7s cpu=6.3s rss=2207.2MB
[03:00:35] wave 30 done: wall=8.1s cpu=5.1s rss=2352.7MB
[03:00:44] wave 31 done: wall=8.6s cpu=6.5s rss=2353.0MB
[03:00:51] wave 32 done: wall=7.1s cpu=4.2s rss=2353.0MB
[03:00:58] wave 33 done: wall=7.1s cpu=4.4s rss=2351.7MB
[03:01:05] wave 34 done: wall=7.1s cpu=5.7s rss=2388.3MB
[03:01:32] wave 35 done: wall=26.3s cpu=12.2s rss=2375.8MB
[03:01:39] wave 36 done: wall=7.7s cpu=5.9s rss=2528.1MB
[03:01:49] wave 37 done: wall=9.6s cpu=7.1s rss=2554.3MB
[03:01:58] wave 38 done: wall=9.1s cpu=6.9s rss=2554.4MB
[03:02:06] wave 39 done: wall=8.1s cpu=5.6s rss=2554.7MB
[03:02:21] wave 40 done: wall=14.6s cpu=6.8s rss=2554.8MB
[03:02:35] TASK-117 SOAK chunk 20260909_025401 complete (hs_err delta=0)
