9311:
 num     #instances         #bytes  class name (module)
 172:          1917         138024  java.lang.reflect.Field (java.base@21.0.12.1)
 173:          2464         137984  java.util.HashMap$TreeNode (java.base@21.0.12.1)
 174:          5747         137928  com.mojang.serialization.MapCodec$$Lambda/0x00007f54741b3908
 175:          4303         137696  com.mojang.datafixers.types.templates.CompoundList$CompoundListType
 176:          2804         134592  it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet
 177:          3324         132960  net.minecraft.util.CrudeIncrementalIntIdentityHashBiMap
 178:          1166         130592  net.minecraft.world.level.block.state.BlockBehaviour$Properties
 179:          5441         130584  com.mojang.serialization.codecs.RecordCodecBuilder
 180:          2325         130200  net.minecraft.world.level.storage.loot.entries.LootItem
 181:          1156         129472  [Lit.unimi.dsi.fastutil.shorts.ShortSet;
 182:          1156         129472  [Lnet.minecraft.world.entity.ai.village.poi.PoiSection;
 183:          5379         129096  com.mojang.datafixers.types.templates.List$ListType
 184:          4014         128448  java.util.HashMap$KeyIterator (java.base@21.0.12.1)
 185:          3201         128040  net.minecraft.world.level.levelgen.placement.PlacementContext
 186:          5247         125928  net.minecraft.core.HolderSet$Direct
 187:          5245         125880  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableMapEntry
 188:          2228         124768  net.minecraft.world.entity.ai.attributes.AttributeInstance
 189:          5136         123264  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.NewChunkHolder$ChunkCompletion
 190:          5097         122328  com.mojang.serialization.MapDecoder$4
 191:          4994         119856  net.minecraft.world.level.levelgen.Aquifer$FluidStatus
 192:          4952         118848  com.mojang.serialization.MapEncoder$1
 193:          2104         117824  org.bukkit.Material
 194:          2099         117544  ca.spottedleaf.concurrentutil.executor.queue.PrioritisedTaskQueue$PrioritisedQueuedTask
 195:          2925         117000  java.util.TreeMap$Entry (java.base@21.0.12.1)
 196:          7312         116992  net.minecraft.world.item.crafting.display.SlotDisplay$ItemSlotDisplay
 197:          4868         116832  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.12.1)
 198:          4144         116792  [Lnet.minecraft.util.parsing.packrat.Term;
 199:          1792         114688  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap
 200:          4767         114408  it.unimi.dsi.fastutil.ints.IntArraySet
 201:          2830         113200  java.lang.ref.SoftReference (java.base@21.0.12.1)
 202:          2820         112800  net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice
 203:          2790         111600  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType
 204:          6956         111296  ca.spottedleaf.dataconverter.types.nbt.NBTMapType
 205:          3450         110400  java.util.LinkedHashMap$LinkedValueIterator (java.base@21.0.12.1)
 206:          6889         110224  com.mojang.serialization.RecordBuilder$AbstractBuilder$$Lambda/0x00007f54757fd718
