# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
KERNEL	23	PaperNativeNoiseInterpolatorSlice	(IIII[J)I	oldJaggedSummary	old	6321750.0000	6321750.0000	6321750.0000	OK s0
KERNEL	24	PaperNativeObfHelperMaps	([Ljava/lang/Object;[Ljava/lang/Object;[I[I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	directMapsSummary	alt	93.3000	93.3000	93.3000	OK s0
KERNEL	24	PaperNativeObfHelperMaps	([Ljava/lang/Object;[Ljava/lang/Object;[I[I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldStreamDefaultSummary	old	93.5000	93.5000	93.5000	OK s0
KERNEL	24	PaperNativeObfHelperMaps	([Ljava/lang/Object;[Ljava/lang/Object;[I[I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	presizedStringPoolSummary	alt	93.6000	93.6000	93.6000	OK s0
KERNEL	25	PaperNativeOreFeatureLoop	([D[D[D[D[I[I[I[I[I[IIIIII[J)I	oldLoopSummary	old	1888.7000	1888.7000	1888.7000	OK s0
KERNEL	25	PaperNativeOreFeatureLoop	([D[D[D[D[I[I[I[I[I[IIIIII[J)I	optimizedLoopSummary	alt	1880.3000	1880.3000	1880.3000	OK s0
KERNEL	26	PaperNativeOwnableRule	(I[J)I	newLoopSummary	alt	3727.1000	3727.1000	3727.1000	OK s0
KERNEL	26	PaperNativeOwnableRule	(I[J)I	oldStreamSummary	old	4171.3000	4171.3000	4171.3000	OK s0
KERNEL	27	PaperNativePalettedReencodeScratch	(I[J)I	directPackedSummary	alt	1158314.1000	1158314.1000	1158314.1000	OK s0
KERNEL	27	PaperNativePalettedReencodeScratch	(I[J)I	oldNewArraySummary	old	493638.5000	493638.5000	493638.5000	OK s0
KERNEL	27	PaperNativePalettedReencodeScratch	(I[J)I	scratchThreadLocalSummary	alt	411926.1000	411926.1000	411926.1000	OK s0
KERNEL	28	PaperNativePluginClassLoaderGroup	(I[Ljava/lang/Object;[IILjava/lang/String;[J)I	oldLookupSummary	old	91.7000	91.7000	91.7000	OK s0
KERNEL	28	PaperNativePluginClassLoaderGroup	(I[Ljava/lang/Object;[IILjava/lang/String;[J)I	skipRequesterSummary	alt	92.4000	92.4000	92.4000	OK s0
KERNEL	29	PaperNativePluginDirectoryScan	(ILjava/lang/String;[J)I	directoryStreamSummary	alt	1895098.8000	1895098.8000	1895098.8000	OK s0
KERNEL	29	PaperNativePluginDirectoryScan	(ILjava/lang/String;[J)I	newListSummary	alt	1932799.2000	1932799.2000	1932799.2000	OK s0
KERNEL	29	PaperNativePluginDirectoryScan	(ILjava/lang/String;[J)I	oldWalkDepth1Summary	old	2057536.8000	2057536.8000	2057536.8000	OK s0
KERNEL	30	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newLazyMissingSetSummary	alt	114.6000	114.6000	114.6000	OK s0
KERNEL	30	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newLazyValidateSummary	alt	115.3000	115.3000	115.3000	OK s0
KERNEL	30	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newPresizedSetupSummary	alt	112.7000	112.7000	112.7000	OK s0
