Java_PaperNativeChunkDependencies_arraySummary	PaperNativeChunkDependencies	arraySummary	P500	bench/batch/java/BatchRolloutBench.java | bench/batch/run_batch_rollout.sh | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeChunkDependencies_oldImmutableListSummary	PaperNativeChunkDependencies	oldImmutableListSummary	P500	bench/batch/java/BatchRolloutBench.java | bench/batch/run_batch_rollout.sh | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeChunkExpireCount_coldSummary	PaperNativeChunkExpireCount	coldSummary	-	
Java_PaperNativeChunkExpireCount_hotSummary	PaperNativeChunkExpireCount	hotSummary	-	
Java_PaperNativeChunkTicketStage_runBatch	PaperNativeChunkTicketStage	runBatch	-	
Java_PaperNativeClimateParameterDistance_branchDistanceSum	PaperNativeClimateParameterDistance	branchDistanceSum	P500	bench/p500/jni_floor/FloorBench.java | bench/p500/jni_floor/FloorGroup.java | bench/p500/jni_floor/FloorRun.sh | bench/p500/jni_floor/floor_report.tsv | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeClimateParameterDistance_oldDistanceSum	PaperNativeClimateParameterDistance	oldDistanceSum	P500	bench/p500/jni_floor/FloorBench.java | bench/p500/jni_floor/FloorGroup.java | bench/p500/jni_floor/FloorRun.sh | bench/p500/jni_floor/floor_report.tsv | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeClimateParameterDistance_subtractFirstDistanceSum	PaperNativeClimateParameterDistance	subtractFirstDistanceSum	P500	bench/p500/jni_floor/FloorBench.java | bench/p500/jni_floor/FloorGroup.java | bench/p500/jni_floor/FloorRun.sh | bench/p500/jni_floor/floor_report.tsv | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md
Java_PaperNativeClimateRTree_buildTreeHandle	PaperNativeClimateRTree	buildTreeHandle	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
Java_PaperNativeClimateRTree_checksumTreeHandle	PaperNativeClimateRTree	checksumTreeHandle	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
