# P500 baseline snapshot — written by aggregate_p500.py --write-baseline
# schema: PAIR\tclass\tsig\told_kernel\talt_kernel\tratio(alt/old)\tstability
PAIR	PaperNativeRemapperSkipHashes	(ILjava/lang/String;[J)I	oldStreamSummary	newLoopSummary	0.935375	0.0%
PAIR	PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[J)I	oldLoadAfterBuildSummary	newLoadAfterBuildSummary	0.997387	0.0%
PAIR	PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldRemovedCountSummary	newRemovedCountSummary	1.011880	0.0%
PAIR	PaperNativeSpringFeatureMutablePos	(I[I[I[I[Z[I[I[J)I	oldBatchSummary	mutableBatchSummary	1.007059	0.0%
PAIR	PaperNativeStaticCacheGet	(IIIII[I[J)I	oldBatchSummary	newBatchSummary	1.009407	0.0%
PAIR	PaperNativeSurfaceRulesTestRuleState	(II[J)I	oldStateRuleSummary	newStateRuleSummary	0.977069	0.0%
PAIR	PaperNativeTopographicGraphSortCapacity	(I[I[I[I[J)I	oldDefaultCapacitySummary	newPresizedSummary	1.011990	0.0%
PAIR	PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[D[J)I	oldAtOrBeyondRangeSummary	guardedAtOrBeyondRangeSummary	0.989065	0.0%
PAIR	PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[J)I	oldReallyFarSummary	guardedReallyFarSummary	0.986387	0.0%
PAIR	PaperNativeWaypointHotPath	(I)D	oldAtOrBeyondRangeValue	guardedAtOrBeyondRangeValue	0.971712	0.0%
PAIR	PaperNativeWaypointHotPath	(I)D	oldAzimuthValue	directAzimuthValue	0.969030	0.0%
PAIR	PaperNativeWaypointHotPath	(I)D	oldChunkVisibleValue	cachedChunkVisibleValue	0.894492	0.0%
PAIR	PaperNativeWaypointHotPath	(I)D	oldReallyFarValue	guardedReallyFarValue	0.978723	0.0%
PAIR	PaperNativeWaypointHotPath	(I)D	oldWaypointManagerValue	optimizedWaypointManagerValue	0.925712	0.0%
PAIR	PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	oldDoubleBatchSummary	directDoubleBatchSummary	0.973357	0.0%
PAIR	PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	oldFloatBatchSummary	directFloatBatchSummary	0.951681	0.0%
