22440:
 num     #instances         #bytes  class name (module)
 353:           523          12552  java.util.Arrays$ArrayList (java.base@21.0.2)
 354:           523          12552  net.minecraft.world.level.levelgen.SurfaceRules$BlockRuleSource
 355:           522          12528  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.2)
 356:           781          12496  com.google.common.collect.ImmutableSortedMap$1EntrySet$1
 357:           515          12360  com.google.common.collect.ImmutableSortedAsList
 358:           384          12288  ca.spottedleaf.moonrise.common.misc.Delayed8WayDistancePropagator2D$NoResizeByteArrayFIFODeque
 359:           384          12288  ca.spottedleaf.moonrise.common.misc.Delayed8WayDistancePropagator2D$NoResizeLongArrayFIFODeque
 360:           512          12288  org.bukkit.craftbukkit.block.impl.CraftBanner
 361:           512          12288  org.bukkit.craftbukkit.block.impl.CraftBed
 362:           512          12288  org.bukkit.craftbukkit.block.impl.CraftChiseledBookShelf
 363:           512          12288  org.bukkit.craftbukkit.block.impl.CraftWeatheringCopperDoor
 364:           512          12288  org.bukkit.craftbukkit.block.impl.CraftWeatheringCopperTrapDoor
 365:           381          12192  joptsimple.internal.AbbreviationMap
 366:           507          12168  java.time.Instant (java.base@21.0.2)
 367:           304          12160  com.mojang.serialization.codecs.RecordCodecBuilder$Instance$5
 368:           377          12064  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.2)
 369:           500          12000  org.jline.reader.impl.history.DefaultHistory$EntryImpl
 370:           299          11960  org.apache.logging.log4j.core.Logger$PrivateConfig
 371:           298          11920  net.minecraft.world.entity.npc.VillagerTrades$ItemsForEmeralds
 372:           743          11888  net.minecraft.util.parsing.packrat.Term$Maybe
 373:           486          11664  org.yaml.snakeyaml.resolver.ResolverTuple
 374:           723          11568  net.minecraft.world.level.block.state.BlockBehaviour$Properties$$Lambda/0x00007ff1e83fec60
